	City	Cloudiness	Country	Date	Humidity	Lat	Lng	Max Temp	Wind Speed
0	nikolskoye	20	RU	1553822246	88	59.7	30.79	4	5
1	chlorakas	75	US	1553822301	73	22.08	-159.32	25	5.7
2	kapaa	0	ZW	1553822321	89	-18.19	31.55	13.96	1.67
3	marondera	75	TT	1553822215	88	10.24	-61.45	26.67	3.1
4	illoqqortoormiut	20	RU	1553822322	50	46.45	135.83	-4.9	1.3
5	belushya guba	75	PW	1553817000	74	7.04	134.26	27	5.7
6	esperance	40	GY	1553817600	88	6.8	-58.16	26	5.1
7	vostok	0	UY	1553822239	83	-33.69	-53.46	19.06	6.07
8	kloulklubed	40	AR	1553817600	47	-54.81	-68.31	14	7.2
9	georgetown	0	RU	1553822324	81	52.01	86.55	-9.8	1.75
10	chuy	20	US	1553821836	60	30.3	-99.24	22	5.7
11	ushuaia	0	IN	1553817600	94	15.34	74.49	22	0.72
12	attawapiskat	0	AU	1553822297	36	-42.88	147.33	24.44	7.7
13	choya	0	AU	1553817600	11	-25.24	130.99	27	2.1
14	harper	0	LK	1553822325	86	8.58	81.23	19.46	1.3
15	vaini	8	AU	1553822089	43	-33.21	138.6	20.76	4.22
16	hobart	90	US	1553821776	37	42.65	-73.75	11	7.2
17	kashi	0	IR	1553821200	75	32.86	59.22	7	2.1
18	yulara	12	CG	1553822326	85	1.61	16.05	25.31	1.07
19	trincomalee	90	NO	1553820600	100	70.66	23.68	0	11.3
20	jamestown	68	CD	1553822327	93	1.56	30.25	17.76	1.25
21	albany	0	CA	1553822327	91	48.78	-87.1	-0.4	6.17
22	birjand	0	FI	1553822296	79	61.18	22.7	6	1.5
23	ouesso	75	EG	1553817600	56	31.35	27.25	20	6.2
24	hammerfest	68	RU	1553822328	85	71.98	102.47	-7.05	8.47
25	bunia	1	US	1553822195	70	41.33	-72.77	6.67	4.1
26	terrace bay	40	MU	1553822044	94	-20.41	57.7	26	5.1
27	huittinen	20	NO	1553822329	100	67.67	12.69	3.81	10.77
28	marsa matruh	48	RU	1553822329	100	69.7	170.27	-17.9	1.92
29	khatanga	64	IR	1553822329	84	38.61	44.99	-2.3	1.22
30	north branford	48	BR	1553822330	84	-30.17	-50.22	20.81	7.6
